day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard
2026-07-31,M9C,SANOFI,SELL,ENTRY SELL,290,09:20,560,3307.7,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-1.674,,,,,,,,,,,,,,C
2026-07-31,M9C,SAPPHIRE,SELL,ENTRY SELL,290,09:25,565,192.55,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-1.256,,,,,,,,,,,,,,C
2026-07-31,M9C,SASKEN,BUY,ENTRY BUY,90,09:20,560,1775.7,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.527,,,,,,,,,,,,,,C
2026-07-31,M9C,SDBL,BUY,ENTRY BUY,90,09:20,560,70.41,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.156,,,,,,,,,,,,,,C
2026-07-31,M9C,SGFIN,BUY,ENTRY BUY,90,09:20,560,665.95,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.917,,,,,,,,,,,,,,C
2026-07-31,M9C,SHARDACROP,BUY,ENTRY BUY,90,09:20,560,823.95,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.237,,,,,,,,,,,,,,C
2026-07-31,M9C,SHRINGARMS,BUY,ENTRY BUY,90,09:25,565,220.55,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.25,,,,,,,,,,,,,,C
2026-07-31,M9C,SIRCA,BUY,ENTRY BUY,90,09:20,560,410.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.195,,,,,,,,,,,,,,C
2026-07-31,M9C,SKYGOLD,BUY,ENTRY BUY,90,09:20,560,650.45,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.951,,,,,,,,,,,,,,C
2026-07-31,M9C,SOLARA,BUY,ENTRY BUY,90,09:25,565,513.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.865,,,,,,,,,,,,,,C
2026-07-31,M9C,SSWL,BUY,ENTRY BUY,90,09:20,560,302.97,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.007,,,,,,,,,,,,,,C
2026-07-31,M9C,STEELXIND,BUY,ENTRY BUY,90,09:25,565,11.17,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.179,,,,,,,,,,,,,,C
2026-07-31,M9C,STYRENIX,BUY,ENTRY BUY,90,09:25,565,2524.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,3.901,,,,,,,,,,,,,,C
2026-07-31,M9C,SUDEEPPHRM,BUY,ENTRY BUY,90,09:20,560,871.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.35,,,,,,,,,,,,,,C
2026-07-31,M9C,SUNDARMFIN,BUY,ENTRY BUY,90,09:25,565,4501.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.316,,,,,,,,,,,,,,C
2026-07-31,M9C,TALBROAUTO,BUY,ENTRY BUY,90,09:20,560,407.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.347,,,,,,,,,,,,,,C
2026-07-31,M9C,TECHNOE,SELL,ENTRY SELL,290,09:20,560,959.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.57,,,,,,,,,,,,,,C
2026-07-31,M9C,TIL,BUY,ENTRY BUY,90,09:25,565,248.16,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.545,,,,,,,,,,,,,,C
2026-07-31,M9C,TRUALT,SELL,ENTRY SELL,290,09:25,565,428.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.383,,,,,,,,,,,,,,C
2026-07-31,M9C,TVSSRICHAK,BUY,ENTRY BUY,90,09:20,560,3949.3,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.734,,,,,,,,,,,,,,C
2026-07-31,M9C,V2RETAIL,BUY,ENTRY BUY,90,09:20,560,220.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.26,,,,,,,,,,,,,,C
2026-07-31,M9C,VENUSPIPES,BUY,ENTRY BUY,90,09:20,560,1675.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.208,,,,,,,,,,,,,,C
2026-07-31,M9C,WAKEFIT,SELL,ENTRY SELL,290,09:20,560,124.04,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-1.155,,,,,,,,,,,,,,C
2026-07-31,M9C,WELCORP,BUY,ENTRY BUY,90,09:20,560,1665.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.58,,,,,,,,,,,,,,C
2026-07-31,M9C,WENDT,BUY,ENTRY BUY,90,09:20,560,8195.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.092,,,,,,,,,,,,,,C
2026-07-31,M9C,XPROINDIA,BUY,ENTRY BUY,90,09:25,565,1415.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.842,,,,,,,,,,,,,,C
2026-07-31,M9C,YATRA,BUY,ENTRY BUY,90,09:20,560,107.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.943,,,,,,,,,,,,,,C
2026-07-31,M9C,ZENTEC,BUY,ENTRY BUY,90,09:20,560,1623.8,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.171,,,,,,,,,,,,,,C
2026-07-31,M9C,63MOONS,BUY,BUY-EX,101,09:35,575,903.3,,,0,0,entry-candle range 1.78% > 1.25% — volatility brake (rule 7),0.411,6.271,,,,,,,,,,,,,,C
2026-07-31,M9C,ABBOTINDIA,SELL,SELL-EX2,202,09:30,570,27485.0,,,0,0,SELL-side master signal — M9 is BUY-only (logged for evidence),0.411,-0.399,,,,,,,,,,,,,,C
2026-07-31,M9C,ADOR,BUY,ENTRY BUY,90,09:30,570,1491.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.811,,,,,,,,,,,,,,C
2026-07-31,M9C,AETHER,BUY,BUY-EX17,102,09:30,570,1542.0,,,0,0,not on NSE top-20 gainers (all-securities) snapshot — entry blocked (user rule A,0.411,3.421,,,,,,,,,,,,,,C
2026-07-31,M9C,AIAENG,SELL,SELL-EX1,201,09:30,570,4515.0,,,0,0,SELL-side master signal — M9 is BUY-only (logged for evidence),0.411,-0.737,,,,,,,,,,,,,,C
2026-07-31,M9C,ALLTIME,BUY,ENTRY BUY,90,09:30,570,226.98,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.33,,,,,,,,,,,,,,C
2026-07-31,M9C,AMNPLST,BUY,ENTRY BUY,90,09:40,580,204.93,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.955,,,,,,,,,,,,,,C
2026-07-31,M9C,APLLTD,SELL,ENTRY SELL,290,09:40,580,801.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.255,,,,,,,,,,,,,,C
2026-07-31,M9C,ARVIND,BUY,BUY-EX9,108,09:30,570,510.6,,,0,0,not on NSE top-20 gainers (all-securities) snapshot — entry blocked (user rule A,0.411,0.482,,,,,,,,,,,,,,C
2026-07-31,M9C,ASHAPURMIN,SELL,SELL-EX12,212,09:30,570,697.55,,,0,0,SELL-side master signal — M9 is BUY-only (logged for evidence),0.411,-1.001,,,,,,,,,,,,,,C
2026-07-31,M9C,ATLANTAELE,BUY,BUY-EX,101,09:30,570,1557.0,,,0,0,not on NSE top-20 gainers (all-securities) snapshot — entry blocked (user rule A,0.411,2.434,,,,,,,,,,,,,,C
2026-07-31,M9C,AZAD,BUY,ENTRY BUY,90,09:30,570,2296.0,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.638,,,,,,,,,,,,,,C
2026-07-31,M9C,BANCOINDIA,BUY,BUY-EX,101,09:30,570,637.9,,,0,0,not on NSE top-20 gainers (all-securities) snapshot — entry blocked (user rule A,0.411,1.901,,,,,,,,,,,,,,C
2026-07-31,M9C,BEPL,BUY,BUY-EX6,105,09:40,580,113.5,,,0,0,signal close ₹113.50 ≤ ₹200 — price floor (rule 4),0.411,1.339,,,,,,,,,,,,,,C
2026-07-31,M9C,CANHLIFE,BUY,ENTRY BUY,90,09:40,580,147.5,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.333,,,,,,,,,,,,,,C
